LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C62728,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 37.4kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,37.4kOhm,150V,±1%,,
C20754717,Dersonic,"Plugin,P=5.08mm","±5% 630V 47nF Plugin,P=5.08mm Film Capacitors ROHS",20,0.0263,Capacitor,Film Capacitor,47n,,630V,±5%,,
C6341414,YJYCOIN,"Plugin,D10xL13mm","4.7mH ±10% 210mA Plugin,D10xL13mm Power Inductors ROHS",5,0.2131,Inductor,Power Inductor,,,,±10%,4.7m,4.7m
C2845051,Shanghai Siproin Microelectronics,ESOP-8,"10mA 70dB 3.3V Positive electrode ESOP-8 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",5,0.1709,,,,,,,,
C3345109,ROQANG,"SMD,D6.3xL10mm","2.2uF 400V 28mA@120Hz ±20% SMD,D6.3xL10mm Aluminum Electrolytic Capacitors - SMD ROHS",10,0.0627,Capacitor,Aluminum Electrolytic Capacitor - SMD,2.2u,,400V,±20%,,
C16378,onsemi,SMB,1.25V@1A 75ns 2A 600V SMB Fast Recovery / High Efficiency Diodes ROHS,5,0.1797,Diode,Fast Recovery / High Efficiency Diode,,,1.25V,,,1A
C100042,YAGEO,0603,50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.002,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,10n,,50V,±10%,,
C100040,YAGEO,0603,50V 1nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.002,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,1n,,50V,±10%,,
C3343,Honor Elec,"SMD,D4xL5.4mm","10uF 25V ±20% SMD,D4xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",20,0.021,Capacitor,Aluminum Electrolytic Capacitor - SMD,10u,,25V,±20%,,
C49693,Nexperia,SOT-223-3,"50V 2W 100@2A,2V 3A NPN SOT-223-3 Bipolar (BJT) ROHS",5,0.0842,,,,,,,,
C93943,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,47kOhm,50V,±1%,,
C60490,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,10kOhm,50V,±1%,,
C138033,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,1MOhm,50V,±1%,,
C477717,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 3MΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0007,Resistor,Chip Resistor - Surface Mount,,3MOhm,50V,±1%,,
C125626,Senba Sensing Tech,"Plugin,P=3mm","5kΩ~10kΩ 540nm 500kΩ Plugin,P=3mm Photoresistors ROHS",10,0.0461,Resistor,General Resistor,,5kOhm,,,,
C138011,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 300kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,300kOhm,50V,±1%,,
C128551,HDK(Hokuriku Elec Industry),SMD,"±25% 200kΩ SMD Potentiometers, Variable Resistors ROHS",10,0.0627,Resistor,Potentiometer / Variable Resistor,,200kOhm,,±25%,,
C17480,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 15Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,15Ohm,150V,±1%,,
C6081342,NEWOPTO,TO-5,TO-5 Human Body Sensing Sensor ROHS,5,0.4933,,,,,,,,
C5346628,EG Micro,SOP-8,SOP-8 Human Body Sensing Sensor ROHS,5,0.0854,,,,,,,,
C5310978,TECH PUBLIC,SOT-23,SOT-23 MOSFETs ROHS,10,0.0342,,,,,,,,
C128367,onsemi,SOD-123,20mA 45V SOD-123 LED Drivers ROHS,5,0.1571,,,,,,,,
